epoch,dice_coefficient,loss,lr,val_dice_coefficient,val_loss
0,0.502193987,0.288753957,1.00E-04,0.386843354,0.362499714
1,0.583253443,0.222006559,1.00E-04,0.501401186,0.255393207
2,0.613076568,0.206882343,1.00E-04,0.587937295,0.227067828
3,0.629674792,0.199370965,1.00E-04,0.59313637,0.249215484
4,0.6486395,0.188548192,1.00E-04,0.628948569,0.212118968
5,0.662187397,0.183178678,1.00E-04,0.646691799,0.20305647
6,0.671412647,0.182279512,1.00E-04,0.638317585,0.222470671
7,0.67758286,0.180111095,1.00E-04,0.676403522,0.207609728
8,0.691043019,0.172530636,1.00E-04,0.677964509,0.196184948
9,0.700434268,0.164866775,1.00E-04,0.694990635,0.186641157
10,0.703445137,0.167788088,1.00E-04,0.701347232,0.201608181
11,0.709645927,0.162916154,1.00E-04,0.682096601,0.200112507
12,0.715322673,0.161949426,1.00E-04,0.695023537,0.196537673
13,0.727139473,0.151954487,1.00E-05,0.702691734,0.183214501
14,0.732830167,0.144289494,1.00E-05,0.705839396,0.182199404
15,0.735620022,0.142049015,1.00E-05,0.706373274,0.182750881
5,0.762441278,0.139199674,1.00E-05,0.733930051,0.180121198
6,0.765287638,0.135042086,1.00E-05,0.731616437,0.179905534
7,0.767049432,0.132985383,1.00E-05,0.73298943,0.179424733
8,0.768348634,0.131140113,1.00E-05,0.734468877,0.178075954
9,0.770315289,0.129561618,1.00E-05,0.736771822,0.177708581
10,0.771535873,0.128061652,1.00E-05,0.737559617,0.177315235
11,0.773148835,0.127105266,1.00E-05,0.737520695,0.178097069
0,0.772164404,0.127821207,1.00E-05,0.739227355,0.178199798
1,0.774722874,0.125671148,1.00E-05,0.739436269,0.17881757
2,0.775559425,0.125269204,1.00E-05,0.740439713,0.177416116
3,0.776473761,0.124504708,1.00E-05,0.739131093,0.17804873
4,0.778177142,0.122887217,1.00E-05,0.740115166,0.177618116
5,0.779325247,0.122294217,1.00E-05,0.741265595,0.177492008
6,0.779259741,0.121823259,1.00E-06,0.741083205,0.177410483
7,0.780229867,0.121061876,1.00E-06,0.741065383,0.177381724
